emp_no,birth_date,first_name,last_name,title,from_date,to_date
65171,1965-01-25,Jeane,Tasistro,Technique Leader,1994-07-06,9999-01-01
65539,1965-01-23,Aksel,Picaronny,Senior Engineer,1998-01-27,9999-01-01
65883,1965-01-07,Patricia,Pepe,Senior Staff,1996-04-18,9999-01-01
65998,1965-01-09,Mandell,Alameldin,Senior Staff,1996-04-08,9999-01-01
66382,1965-01-04,Domenico,Candan,Engineer,1997-07-13,9999-01-01
66530,1965-01-29,Dung,Leaver,Staff,1998-04-04,9999-01-01
66643,1965-01-18,Jianhao,Tomescu,Engineer,1996-08-26,9999-01-01
66702,1965-02-01,Deniz,Thibadeau,Senior Engineer,2000-09-26,9999-01-01
66757,1965-01-16,Yonghong,Baig,Staff,1999-04-10,9999-01-01
66807,1965-01-21,Aiman,Rosaz,Senior Engineer,1999-05-22,9999-01-01
67320,1965-01-18,Sadok,Lorys,Senior Staff,1987-05-10,9999-01-01
67548,1965-01-11,Fumitaka,Roohalamini,Staff,1998-06-27,9999-01-01
67934,1965-01-07,Aiman,Gargeya,Senior Engineer,1993-03-07,9999-01-01
68022,1965-01-12,Kristinn,Pearson,Staff,1995-05-07,1999-06-26
68168,1965-01-14,Marl,Thiria,Senior Staff,1992-03-17,1996-12-31
68263,1965-01-16,Fumiko,Bodoff,Staff,1991-12-19,1993-07-11
68416,1965-01-27,Munenori,Debuse,Senior Engineer,1990-11-08,9999-01-01
68608,1965-01-26,Yucai,Seghrouchni,Senior Engineer,1994-06-09,9999-01-01
68633,1965-01-28,Chinhyun,Rassart,Senior Engineer,1993-07-29,9999-01-01
68648,1965-01-25,Jaques,DiGiano,Technique Leader,1992-04-01,9999-01-01
69052,1965-01-26,Shietung,Shrader,Senior Staff,1995-08-05,9999-01-01
69219,1965-01-09,Shuky,Redmiles,Senior Staff,1994-07-06,9999-01-01
69867,1965-01-22,Miyeon,Rothe,Senior Staff,1997-04-08,9999-01-01
69878,1965-01-24,Chinya,Cooke,Engineer,1997-01-29,9999-01-01
69936,1965-01-23,Lalit,Unni,Assistant Engineer,1998-12-06,9999-01-01
70469,1965-01-12,Tru,Miyakawa,Senior Staff,1998-09-03,9999-01-01
70780,1965-01-27,Behnaam,Angelov,Assistant Engineer,1995-01-29,1999-07-20
70990,1965-01-22,Arumugam,Nitta,Senior Engineer,1990-03-23,9999-01-01
71066,1965-01-27,Domenick,Basart,Senior Staff,2001-01-04,9999-01-01
71141,1965-01-02,Sajjad,Vitiello,Senior Staff,1997-02-16,9999-01-01
71188,1965-01-02,Pranjal,Schapiro,Senior Staff,1993-12-14,9999-01-01
71243,1965-01-10,Kinh,Buchter,Senior Engineer,1993-03-29,9999-01-01
71334,1965-01-15,Cathie,Peck,Senior Engineer,1998-04-12,9999-01-01
71685,1965-01-01,Kristinn,Olano,Senior Engineer,1989-10-03,9999-01-01
71710,1965-01-31,Hitomi,Takanami,Assistant Engineer,1997-12-15,9999-01-01
71745,1965-01-02,Adil,Laventhal,Engineer,2001-05-13,9999-01-01
72190,1965-01-19,Sajjad,Waeselynck,Engineer,1999-09-13,9999-01-01
72194,1965-01-26,Feiyu,Siepmann,Senior Engineer,1998-10-01,9999-01-01
72232,1965-01-10,Naraig,Veldwijk,Senior Engineer,1996-07-10,9999-01-01
72640,1965-01-24,Honglan,Hutton,Senior Engineer,1998-10-04,9999-01-01
72918,1965-01-22,Takahira,Szilard,Senior Staff,1993-01-15,9999-01-01
73076,1965-01-22,Froduald,Feldhoffer,Senior Engineer,1993-03-16,9999-01-01
73233,1965-01-15,Shigeo,Merey,Senior Engineer,1985-07-30,9999-01-01
73516,1965-01-14,Qingxiang,Badache,Senior Engineer,1996-06-25,9999-01-01
73743,1965-01-15,Anneke,Bernardeschi,Engineer,1999-11-01,9999-01-01
73794,1965-01-26,Aiichiro,Castellani,Engineer,1985-08-26,1987-08-19
73903,1965-01-29,Bartek,Cappello,Engineer,1988-07-28,1993-01-02
74200,1965-01-16,Holgard,Weiland,Senior Engineer,1991-09-24,9999-01-01
74237,1965-01-29,Jaihie,Vilarrasa,Engineer,2001-03-03,2001-06-20
74344,1965-02-01,Hiroyasu,Provine,Engineer,1994-11-25,9999-01-01
74598,1965-01-07,Kolar,Garigliano,Senior Staff,1992-05-10,1999-03-07
74668,1965-01-01,Masako,Bonifati,Senior Staff,1987-04-09,9999-01-01
74800,1965-01-25,Yuuichi,Conde,Senior Engineer,1999-03-08,9999-01-01
75113,1965-01-22,Zissis,Birch,Senior Engineer,1999-08-19,2000-07-15
75354,1965-01-11,Shuky,Jakobus,Senior Engineer,1993-06-16,9999-01-01
75420,1965-01-09,Clyde,Vrecion,Engineer,1997-07-03,2000-09-14
75703,1965-01-08,Kyoichi,Erman,Senior Engineer,2001-07-25,9999-01-01
75760,1965-01-21,Jahangir,Radhakrishnan,Technique Leader,1991-04-19,1993-12-29
75888,1965-01-31,Marsal,Otillio,Staff,1994-01-23,1999-09-16
76178,1965-01-19,Chiradeep,Meriste,Senior Engineer,1988-05-23,1997-06-25
76189,1965-01-02,Kolar,Hinsberger,Senior Engineer,1994-10-20,9999-01-01
76201,1965-01-10,Arif,Preusig,Senior Engineer,1992-04-02,9999-01-01
76417,1965-01-31,Parviz,Duclos,Senior Engineer,1989-12-27,1993-12-31
76598,1965-01-24,Keung,Ferriere,Engineer,1991-05-13,1995-10-08
76640,1965-01-02,Tristan,Mitsuhashi,Senior Engineer,2000-07-12,9999-01-01
76847,1965-01-20,Mariusz,Weiland,Senior Engineer,1989-08-16,1994-11-09
77030,1965-01-02,Faiza,Garnham,Technique Leader,1986-03-02,9999-01-01
77157,1965-01-14,Tesuro,Nicolson,Staff,1996-06-01,1999-10-20
77303,1965-01-18,Xinglin,Birge,Senior Staff,2001-03-05,9999-01-01
77647,1965-01-07,Niranjan,Schaaf,Technique Leader,1989-11-05,9999-01-01
77815,1965-01-21,Ronghao,Picaronny,Engineer,2002-06-09,9999-01-01
78086,1965-01-20,Fabrizio,Anick,Staff,1997-12-16,1998-05-02
78106,1965-01-09,Ashish,Ratnaker,Senior Staff,1986-11-10,9999-01-01
78171,1965-01-12,Teiji,Hinsberger,Senior Staff,1997-01-25,2002-05-18
78363,1965-01-03,Susumu,Fritzsche,Engineer,1998-06-23,9999-01-01
78469,1965-01-28,Leucio,Cappelli,Staff,1997-08-22,9999-01-01
78871,1965-01-15,Conor,Ghandeharizadeh,Senior Engineer,1985-05-25,9999-01-01
79043,1965-01-24,Katsuo,Hockney,Technique Leader,1999-11-07,9999-01-01
79171,1965-01-19,Guiseppe,Ellozy,Senior Engineer,1991-01-12,9999-01-01
79190,1965-01-18,Tsuneo,Servi,Staff,1999-06-30,2001-06-02
79239,1965-01-07,Denny,Griswold,Senior Engineer,1989-05-18,2001-11-19
79310,1965-01-24,Jeong,Cunliffe,Senior Staff,1996-10-27,9999-01-01
79606,1965-01-03,Arnd,Peir,Senior Engineer,1986-12-11,9999-01-01
79640,1965-01-26,Marl,Litzkow,Staff,1991-10-12,1993-10-22
79722,1965-01-17,Make,Remmers,Staff,1997-08-07,1998-08-08
79763,1965-01-20,Sanjoy,Barreiro,Senior Staff,1996-04-09,9999-01-01
79895,1965-01-30,Fei,Murtagh,Senior Staff,1986-01-19,9999-01-01
80067,1965-01-19,Kazuhisa,Weiland,Senior Staff,1991-11-09,9999-01-01
80203,1965-01-22,Shakhar,Baik,Staff,1993-12-01,9999-01-01
80432,1965-01-17,Stella,Figueira,Senior Staff,1998-03-14,9999-01-01
80656,1965-01-09,Kwan,Gide,Engineer,1998-06-24,2001-07-01
80731,1965-01-25,Shaowen,Eldridge,Senior Staff,1994-12-05,9999-01-01
80745,1965-01-09,Rimli,Huttel,Staff,1989-12-14,1996-11-29
80850,1965-02-01,Koldo,Luit,Senior Engineer,2001-04-15,9999-01-01
80889,1965-01-07,Shigeo,Linnainmaa,Senior Engineer,1985-07-30,9999-01-01
80948,1965-01-27,Harjit,Bardell,Senior Engineer,1996-05-23,9999-01-01
81105,1965-01-14,Jaewon,Boissier,Senior Engineer,1998-05-24,9999-01-01
81162,1965-01-28,Marco,Klerer,Senior Engineer,1999-11-01,2001-02-02
81545,1965-01-13,Larisa,Kornyak,Technique Leader,1996-03-10,9999-01-01
81619,1965-01-12,Gen,Aloisi,Senior Engineer,1993-03-12,2002-07-25
81644,1965-01-05,Divine,Ghandeharizadeh,Staff,1997-11-28,9999-01-01
81995,1965-01-10,Sreekrishna,Brender,Senior Engineer,1996-03-21,9999-01-01
82069,1965-01-20,Yechezkel,Perfilyeva,Senior Engineer,2000-11-02,9999-01-01
82098,1965-01-25,Poornachandra,Wilharm,Senior Engineer,1998-04-20,9999-01-01
82351,1965-01-26,Stevo,Thambidurai,Senior Staff,1989-10-27,9999-01-01
82511,1965-01-27,Uwe,Koblick,Engineer,1998-04-04,9999-01-01
82919,1965-01-05,Shigeu,Claffy,Engineer,1998-02-03,9999-01-01
82928,1965-01-27,Alselm,Rikino,Senior Engineer,1997-11-16,9999-01-01
83280,1965-01-07,Francesca,Ellozy,Senior Engineer,1999-08-08,9999-01-01
83289,1965-01-09,Shigeichiro,Engelmann,Senior Engineer,2000-01-09,9999-01-01
83509,1965-01-04,Breannda,Collavizza,Senior Engineer,1994-10-12,9999-01-01
83544,1965-01-18,Leaf,Baak,Senior Staff,2001-09-05,9999-01-01
83714,1965-01-27,Ohad,Kilgore,Senior Engineer,1997-07-01,9999-01-01
83805,1965-01-23,Manohar,Harllee,Senior Engineer,1987-03-11,9999-01-01
83922,1965-01-10,Shunichi,Solovay,Senior Engineer,1995-06-07,1998-11-18
83941,1965-01-11,Zsolt,Hagimont,Senior Staff,2001-10-08,9999-01-01
84029,1965-01-27,Babette,Eugenio,Staff,1997-09-21,9999-01-01
84163,1965-01-11,Zejun,Roisin,Senior Staff,1997-05-26,2002-01-16
84179,1965-01-25,Shuichi,Nanard,Senior Engineer,1989-03-14,9999-01-01
84236,1965-01-18,Eberhardt,Barriga,Senior Staff,1993-06-03,9999-01-01
84256,1965-01-25,Denny,Cheshire,Staff,1989-11-23,1992-08-08
84315,1965-01-23,Kristina,Baumann,Assistant Engineer,1996-09-26,9999-01-01
84451,1965-01-20,Shiv,Aumann,Senior Engineer,1998-06-14,9999-01-01
84494,1965-01-02,Janalee,Loncour,Staff,1986-04-12,1987-09-04
84508,1965-01-17,Tommaso,Vidya,Engineer,1998-05-02,9999-01-01
84840,1965-01-14,Sverrir,Neimat,Staff,1996-11-03,9999-01-01
84922,1965-01-22,Parke,Unno,Engineer,1996-07-01,9999-01-01
84942,1965-01-15,Shin,Fujisaki,Technique Leader,1988-02-23,9999-01-01
85216,1965-01-18,Ferdinand,Rosiles,Senior Staff,1997-07-08,9999-01-01
85288,1965-01-06,Younwoo,Luders,Senior Engineer,2002-03-31,9999-01-01
85414,1965-01-14,Chiradeep,Callaway,Staff,1999-07-30,9999-01-01
85445,1965-01-09,Yongdong,Pollock,Staff,1998-03-17,9999-01-01
85702,1965-01-04,Udi,Merks,Engineer,1997-08-15,9999-01-01
85874,1965-01-30,Pasqua,Taubman,Senior Staff,1986-06-23,9999-01-01
86213,1965-01-28,Kristine,Clemencon,Senior Staff,1996-04-21,9999-01-01
86324,1965-01-14,Maia,Berstel,Senior Engineer,1993-07-17,2002-01-13
86354,1965-01-27,Ronghao,Segond,Senior Engineer,1993-09-13,9999-01-01
86422,1965-02-01,Jaewon,Thummel,Senior Staff,1992-09-14,9999-01-01
86546,1965-01-09,Oldrich,Woycyznski,Senior Engineer,1990-05-15,9999-01-01
86655,1965-01-01,Zhenhua,Lorys,Engineer,1995-08-21,9999-01-01
86672,1965-01-15,JoAnne,Anido,Staff,1995-09-15,9999-01-01
87129,1965-01-16,Keung,Neiman,Staff,1997-04-13,9999-01-01
87353,1965-01-07,Quingbo,Coombs,Senior Engineer,1999-01-17,9999-01-01
87458,1965-01-26,Mikhail,Gimbel,Senior Staff,1993-12-22,1999-04-29
87714,1965-01-16,Khun,Janetzko,Engineer,1998-09-13,9999-01-01
87729,1965-01-24,Yongmin,Roccetti,Senior Staff,1991-12-10,9999-01-01
87783,1965-01-26,Conor,Thorensen,Senior Engineer,1988-02-24,9999-01-01
88103,1965-01-09,Goo,Bresenham,Senior Staff,1999-01-31,9999-01-01
88357,1965-01-05,Manohar,Karcich,Staff,1998-08-07,2000-08-22
88411,1965-01-31,Lena,Cannane,Engineer,2000-01-28,9999-01-01
88422,1965-01-28,Jungsoon,Birsak,Technique Leader,1985-04-03,9999-01-01
88647,1965-01-10,Vasiliy,Ratnaker,Engineer,1995-08-09,9999-01-01
88958,1965-01-22,Vojin,Coombs,Senior Staff,2002-07-23,9999-01-01
88965,1965-01-20,Mang,Hedayat,Engineer,1995-05-22,9999-01-01
89048,1965-01-24,Otmar,Birjandi,Senior Engineer,1992-03-23,9999-01-01
89090,1965-01-26,Tetsushi,Theuretzbacher,Senior Staff,1995-02-01,9999-01-01
89161,1965-01-07,Conal,Yetto,Senior Staff,1999-01-12,9999-01-01
89207,1965-01-15,Along,Erol,Senior Staff,1999-10-17,9999-01-01
89346,1965-01-13,Mansur,Comyn,Engineer,1999-08-31,9999-01-01
89487,1965-01-29,Kazuhira,Seiwald,Engineer,1995-03-25,1999-03-24
89590,1965-01-27,Guther,Rothenberg,Senior Staff,2000-08-07,9999-01-01
89664,1965-01-20,Pranjal,Rossi,Staff,1998-07-07,9999-01-01
89680,1965-01-27,Aiman,Mawatari,Senior Engineer,1997-05-01,9999-01-01
89806,1965-01-27,Xiadong,Shinomoto,Senior Engineer,2002-05-24,9999-01-01
89922,1965-01-26,Alexius,Ibel,Senior Engineer,1993-04-24,9999-01-01
89941,1965-01-23,Arnould,Weedman,Senior Staff,1989-07-28,9999-01-01
90077,1965-01-24,Vivian,Guerreiro,Engineer,1998-07-08,9999-01-01
90084,1965-01-01,Renny,Bale,Senior Engineer,1996-11-22,9999-01-01
90116,1965-01-11,Brigham,Luiz,Assistant Engineer,1990-04-10,1995-06-10
90211,1965-01-15,Bader,Denis,Engineer,1997-10-06,9999-01-01
90292,1965-01-09,Koichi,Assaf,Senior Engineer,1998-05-26,9999-01-01
90366,1965-01-26,Magy,Eiron,Senior Staff,1998-08-03,2002-03-03
90518,1965-01-24,Fumiko,Chepyzhov,Senior Staff,1997-01-27,9999-01-01
90614,1965-01-29,Yonghoan,Trogemann,Engineer,1997-09-23,9999-01-01
90692,1965-01-03,Rajmohan,DasSarma,Senior Staff,1990-09-14,9999-01-01
91172,1965-01-19,Kazuhisa,Melter,Senior Staff,1993-07-15,9999-01-01
91182,1965-01-04,Lucien,Schwartzburd,Senior Engineer,1994-08-25,9999-01-01
91229,1965-01-01,Yahiko,Hebden,Senior Engineer,2001-10-03,9999-01-01
91256,1965-01-13,Gunilla,Milicic,Staff,1998-01-09,9999-01-01
91308,1965-01-23,Remmert,Plumb,Senior Engineer,1993-06-14,1995-12-08
91333,1965-01-27,Lobel,Stafford,Staff,1998-11-29,9999-01-01
91415,1965-01-04,Jamaludin,Nilsson,Senior Staff,1994-01-15,9999-01-01
91462,1965-01-11,Siamak,Janocha,Engineer,1997-08-26,1998-03-21
91648,1965-01-29,Dmitry,Msuda,Senior Staff,1997-10-22,9999-01-01
91934,1965-01-03,Nikolaus,Swen,Engineer,2000-01-28,2002-07-03
91973,1965-01-25,Jianwen,Jakobus,Senior Engineer,1998-08-24,2001-02-12
92438,1965-01-04,Aria,Kilgore,Senior Engineer,1996-02-28,9999-01-01
92443,1965-01-01,Girolamo,Bellmore,Senior Staff,1996-12-04,2000-04-27
92454,1965-01-24,Visit,McFarlan,Senior Engineer,1996-10-21,9999-01-01
92577,1965-01-06,Zhanqiu,Farrow,Assistant Engineer,1999-01-10,9999-01-01
92598,1965-01-18,Ranga,Merro,Assistant Engineer,1996-05-11,9999-01-01
92685,1965-01-26,Mang,Atchley,Senior Staff,1995-06-07,9999-01-01
92841,1965-01-22,Claude,Candan,Senior Staff,1993-08-04,9999-01-01
92846,1965-01-11,Anyuan,Kropatsch,Senior Staff,1993-09-05,9999-01-01
92920,1965-01-20,Huei,Hutter,Senior Engineer,2000-01-29,9999-01-01
93040,1965-01-19,Jaques,Kabayashi,Senior Engineer,1992-03-13,9999-01-01
93220,1965-01-11,Richara,Walston,Senior Engineer,1996-08-27,9999-01-01
93278,1965-02-01,Magdalena,Penn,Senior Engineer,2002-01-04,9999-01-01
93549,1965-02-01,Arie,Coullard,Senior Staff,1998-04-15,9999-01-01
93600,1965-01-13,Kristina,Neimat,Technique Leader,1988-04-18,9999-01-01
93794,1965-01-23,Rimli,Werthner,Senior Engineer,2000-05-26,2000-12-30
94045,1965-01-19,Gift,Brender,Senior Engineer,1996-10-31,2000-01-02
94131,1965-01-29,Bernardo,Vasanthakumar,Staff,1997-05-01,1997-07-20
94331,1965-01-26,Ramzi,Cronau,Technique Leader,1999-09-03,9999-01-01
94416,1965-01-01,Aran,Cesareni,Senior Staff,1990-02-10,9999-01-01
94442,1965-01-28,Bilhanan,Marrakchi,Staff,1998-02-03,2000-10-12
94690,1965-01-30,Kazuyasu,Sridhar,Staff,1999-12-22,2001-12-03
94761,1965-01-27,Hitofumi,Zaccaria,Senior Engineer,1997-11-22,9999-01-01
94787,1965-01-22,Shigenori,Stanfel,Staff,1993-04-25,1999-12-11
94944,1965-01-13,Heping,Matheson,Senior Engineer,1997-06-24,9999-01-01
95181,1965-01-28,Yishai,Cappelli,Staff,1997-01-30,9999-01-01
95286,1965-01-18,Kristin,Guerreiro,Senior Engineer,1997-08-23,9999-01-01
95314,1965-01-22,Rasiah,Koblick,Senior Staff,1999-08-21,9999-01-01
95406,1965-01-08,Alair,Lyonns,Engineer,1997-07-12,9999-01-01
95416,1965-01-13,Gianluca,Ramaiah,Engineer,1993-11-29,9999-01-01
95509,1965-01-11,Kristinn,Loncour,Engineer,1995-02-08,9999-01-01
95692,1965-01-20,Abdulah,Hofstetter,Engineer,1999-11-24,2000-07-24
95920,1965-01-19,Nobuyoshi,Hegner,Senior Staff,2001-09-07,9999-01-01
96100,1965-01-11,Pranay,Rebaine,Senior Engineer,1998-02-01,2000-12-31
96571,1965-01-13,Kokou,Garrabrants,Senior Engineer,1997-11-05,9999-01-01
96579,1965-01-18,Mohan,Tasistro,Engineer,1996-02-10,9999-01-01
96767,1965-01-07,Arumugam,Vecchio,Senior Engineer,1992-08-14,9999-01-01
97018,1965-01-09,Jeanna,Chinen,Senior Engineer,1994-01-01,9999-01-01
97092,1965-01-22,Anwar,Riexinger,Senior Engineer,1997-12-30,2000-01-09
97623,1965-01-25,Haldon,Janetzko,Senior Staff,1996-09-10,9999-01-01
97661,1965-01-31,Avishai,Hegner,Senior Staff,2002-05-08,9999-01-01
97697,1965-01-10,Moie,Karunanithi,Senior Engineer,1995-02-07,2000-12-15
98288,1965-01-12,Sumali,Huttel,Senior Staff,1997-09-12,9999-01-01
98306,1965-01-16,Ziya,Kadhim,Senior Engineer,1995-11-02,9999-01-01
98514,1965-01-08,Giao,Junot,Staff,1999-07-01,2002-02-25
98639,1965-01-29,Florina,Assaf,Staff,1996-05-18,9999-01-01
99057,1965-01-30,Shugo,Reeken,Staff,1999-06-21,9999-01-01
99373,1965-01-13,Xiaobin,Christianini,Senior Staff,1991-12-25,9999-01-01
99377,1965-01-18,Carrsten,Francisci,Senior Engineer,1991-06-16,9999-01-01
99590,1965-01-24,Dhritiman,Anily,Staff,1998-12-16,9999-01-01
99654,1965-01-30,Mahendra,Motley,Senior Staff,1992-09-28,9999-01-01
100865,1965-01-19,Hisao,Peral,Senior Engineer,1998-10-03,9999-01-01
100877,1965-01-13,Kazuhide,Harnett,Engineer,1995-02-02,1999-02-13
100916,1965-01-18,Heejo,Aamodt,Senior Engineer,2001-04-22,9999-01-01
101063,1965-01-08,Nectarios,Munos,Senior Engineer,1994-08-31,1995-08-14
101487,1965-01-14,Abdelaziz,Sury,Senior Staff,1999-01-31,9999-01-01
101647,1965-01-22,Mori,Homond,Senior Staff,2000-05-09,9999-01-01
101902,1965-01-14,Mantis,Millington,Senior Staff,1997-03-17,9999-01-01
102620,1965-01-03,Adin,Templeman,Engineer,1997-12-10,9999-01-01
103166,1965-01-09,Waiman,Dalton,Senior Engineer,1999-05-25,2002-02-09
103172,1965-01-05,Doowon,Highland,Senior Engineer,1995-03-09,1995-11-23
103196,1965-01-16,Djenana,Albarhamtoshy,Senior Staff,1993-07-16,9999-01-01
103310,1965-01-07,Visit,Swen,Senior Staff,2000-10-01,9999-01-01
103316,1965-01-03,Susanne,Peternell,Senior Engineer,1999-07-27,9999-01-01
103342,1965-01-03,Beshir,Hellwagner,Engineer,1998-02-03,9999-01-01
103756,1965-01-31,Heping,Halloran,Engineer,2001-04-08,9999-01-01
104133,1965-01-31,Pranjal,Zyda,Senior Staff,1998-07-03,9999-01-01
104845,1965-01-29,Werner,Lodder,Senior Staff,1998-06-17,9999-01-01
104962,1965-01-04,Zongyan,Auyong,Engineer,1987-11-02,1991-12-22
104988,1965-01-07,Parviz,Litzler,Senior Engineer,1999-08-09,9999-01-01
105191,1965-01-01,Jaber,Kleiser,Engineer,1986-12-13,1987-09-22
105342,1965-01-01,Kwun,Reeker,Technique Leader,1999-07-29,9999-01-01
105356,1965-01-29,Diederik,Matzov,Senior Engineer,1996-05-12,9999-01-01
105432,1965-01-08,Mohamadou,Stafford,Senior Engineer,2000-09-11,9999-01-01
105520,1965-01-01,Haldun,Lienhardt,Senior Staff,1987-01-29,9999-01-01
105589,1965-01-28,Yechiam,Egerstedt,Engineer,1995-12-31,1999-07-18
105731,1965-01-15,Sachem,Cromarty,Engineer,1996-08-19,9999-01-01
105936,1965-01-23,Vidar,Thibadeau,Staff,1995-03-02,1999-09-15
106096,1965-01-14,Naftali,Schurmann,Senior Engineer,1999-12-03,9999-01-01
106242,1965-02-01,Nevio,Thisen,Senior Staff,1994-03-25,9999-01-01
106514,1965-01-04,Otilia,Speek,Senior Engineer,1988-07-30,1992-11-07
106695,1965-01-31,Lijie,Garrabrants,Senior Staff,1990-10-02,9999-01-01
106710,1965-01-31,Babette,Anandan,Senior Staff,1993-11-22,9999-01-01
106958,1965-01-24,Horward,Begiun,Senior Engineer,1992-11-06,2002-05-22
107486,1965-01-23,Siamak,Luiz,Senior Engineer,1987-02-11,9999-01-01
107737,1965-01-23,Fabrizio,Chleq,Senior Engineer,1999-07-31,9999-01-01
107792,1965-01-13,Shahab,Crooks,Senior Staff,2001-03-18,9999-01-01
107828,1965-01-26,Ramya,Walston,Senior Staff,1995-02-03,9999-01-01
108091,1965-01-09,Hisao,Ghemri,Senior Staff,1990-11-14,9999-01-01
108198,1965-01-24,Randi,Samarati,Senior Staff,1999-10-21,9999-01-01
108316,1965-01-02,Shai,Stellhorn,Senior Engineer,1992-05-21,9999-01-01
108988,1965-01-19,Oksana,Baek,Senior Staff,1997-07-20,9999-01-01
109062,1965-02-01,Jamaludin,Kandlur,Senior Engineer,1992-06-19,9999-01-01
109211,1965-01-11,Gor,Delgrande,Senior Engineer,2001-11-06,9999-01-01
109252,1965-01-15,Moty,Winter,Technique Leader,1991-04-28,9999-01-01
109278,1965-01-21,Bangqing,Schach,Senior Staff,1996-03-22,9999-01-01
109547,1965-01-04,Chenye,Zizka,Senior Staff,1994-02-22,2002-04-21
109552,1965-01-31,Menkae,Etalle,Engineer,2002-05-21,9999-01-01
109553,1965-01-19,Xiaobin,DuBourdieux,Staff,1985-09-16,1988-05-11
109598,1965-02-01,Stamatina,Auyong,Senior Staff,1988-07-05,9999-01-01
109611,1965-01-08,Jamaludin,Lalonde,Staff,1994-07-09,1998-08-24
109620,1965-01-02,Mani,Cannata,Senior Staff,1995-06-21,9999-01-01
109652,1965-01-25,Huan,Perko,Senior Staff,1993-07-31,1999-03-12
109703,1965-01-17,Arco,Walston,Engineer,1999-08-16,9999-01-01
109741,1965-01-11,Hatem,Fadgyas,Senior Engineer,1991-11-13,9999-01-01
109953,1965-01-26,Godehard,Chorvat,Senior Staff,1996-04-10,9999-01-01
200052,1965-01-27,Slavian,Cincotta,Senior Engineer,1992-05-30,1997-07-07
200176,1965-01-31,Shahab,Luit,Senior Staff,1994-11-20,1997-02-05
200267,1965-01-08,Chuanti,Luff,Senior Staff,2000-09-20,9999-01-01
200312,1965-01-27,Akemi,Fujisaki,Senior Engineer,1998-06-25,9999-01-01
200363,1965-01-10,Kirk,Quaggetto,Senior Engineer,1995-06-30,9999-01-01
200735,1965-01-09,Dinah,Denos,Senior Staff,2001-09-21,9999-01-01
200789,1965-01-14,Susumu,Camurati,Senior Staff,1997-12-14,9999-01-01
201180,1965-01-15,Odinaldo,Bridgland,Assistant Engineer,1989-06-09,1995-06-16
201229,1965-01-03,Alejandra,Khasidashvili,Staff,1994-07-30,9999-01-01
201708,1965-01-15,Anneli,Perl,Senior Staff,2000-09-08,9999-01-01
201709,1965-01-01,Fan,Kakkad,Senior Staff,1993-02-24,9999-01-01
201739,1965-01-16,Genta,Terekhov,Assistant Engineer,1998-07-21,9999-01-01
201801,1965-01-12,Waiman,Genin,Senior Engineer,1995-10-30,9999-01-01
201915,1965-01-02,Sudharsan,DeMori,Senior Engineer,1997-03-30,9999-01-01
202031,1965-01-23,Annemarie,Peternell,Engineer,1994-03-13,1997-06-05
202291,1965-01-16,Ortrun,Schmiedel,Engineer,1997-07-18,9999-01-01
202403,1965-01-09,Gully,Perko,Engineer,1999-07-07,9999-01-01
202414,1965-01-13,Zvonko,Murthy,Senior Staff,1992-01-07,9999-01-01
202552,1965-01-05,Morris,Saoudi,Senior Engineer,1998-11-22,9999-01-01
202581,1965-01-19,Dharmaraja,Merlo,Staff,1987-06-05,1990-12-16
202826,1965-01-19,Kerhong,Matzke,Senior Engineer,1993-11-14,9999-01-01
202882,1965-01-25,Isaac,Koshino,Senior Engineer,1995-09-28,9999-01-01
202950,1965-01-17,Giordano,Pietrzykowski,Senior Staff,1987-03-26,9999-01-01
203474,1965-01-03,Hugh,Jonsson,Senior Staff,1997-07-05,9999-01-01
203495,1965-01-02,Zongyan,Gips,Technique Leader,1997-05-31,9999-01-01
203599,1965-01-21,Ewing,DiGiano,Technique Leader,2000-02-01,9999-01-01
203697,1965-01-27,Claude,Kemmerer,Engineer,1994-01-16,2001-05-07
203720,1965-01-30,Sasan,Thimonier,Senior Staff,1996-08-21,9999-01-01
203946,1965-01-23,Yefim,Marwedel,Senior Staff,1999-03-30,9999-01-01
204117,1965-01-10,Jessie,Nooteboom,Staff,1999-08-13,9999-01-01
204133,1965-01-22,Susuma,Bergere,Senior Staff,1996-02-25,9999-01-01
204246,1965-01-09,Arve,Worfolk,Senior Staff,1990-04-01,9999-01-01
204425,1965-01-03,Gretta,Huttel,Senior Engineer,1990-10-08,9999-01-01
204470,1965-01-22,Hein,Lichtner,Senior Staff,2001-04-02,9999-01-01
204471,1965-01-27,Franziska,Maginnis,Senior Engineer,1992-02-17,9999-01-01
204764,1965-01-22,Susanne,Mandelberg,Senior Engineer,1996-11-01,9999-01-01
205018,1965-01-26,Yahiko,Awdeh,Engineer,1998-08-05,9999-01-01
205085,1965-01-23,Moni,Kornyak,Technique Leader,1991-09-26,9999-01-01
205174,1965-01-05,Leszek,Spinelli,Staff,1998-12-10,9999-01-01
205362,1965-01-25,Masasuke,Makinen,Staff,1992-07-02,1997-06-01
205500,1965-01-04,Mary,Setiz,Senior Engineer,1989-01-13,9999-01-01
205627,1965-01-21,Stabislas,Broder,Senior Engineer,2001-07-16,9999-01-01
205660,1965-01-27,Kien,Barreiro,Staff,1997-08-25,9999-01-01
205699,1965-01-31,Youjian,Yetto,Senior Staff,2000-12-06,9999-01-01
205789,1965-01-31,Limsoon,Skafidas,Senior Staff,1999-08-10,9999-01-01
